Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T015_018,SE_T015_019,SE_T015_020,SE_T015_021,SE_T015_022,SE_T015_023,SE_T015_024,SE_T015_025,SE_T015_026,SE_T015_027,SE_T015_028,SE_T015_029,SE_T015_030,SE_T015_031,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009,SE_T016_010,SE_T016_011,SE_T016_012,SE_T016_013,SE_T016_014,SE_T016_015,SE_T016_016,SE_T016_017,SE_T016_018,SE_T016_019
"50001960100","14000US50001960100","Census Tract 9601, Addison County, Vermont","Census Tract 9601, Addison County, Vermont","vt","140","00","ACSSF","0000649",,,,,"50","001",,,,"960100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805,3805,46.6587,81.5496473342734,3805,3684,19,6,52,0,5,39,3805,3784,3668,19,6,52,0,0,39,21,16,0,0,0,0,5,0,3805,3784,21,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,52,7,0,0,9,21,0,0,0,6,0,0,0,0,0,2,7,0,0
"50001960200","14000US50001960200","Census Tract 9602, Addison County, Vermont","Census Tract 9602, Addison County, Vermont","vt","140","00","ACSSF","0000650",,,,,"50","001",,,,"960200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779,2779,58.60398,47.4199911350941,2779,2706,40,10,0,0,1,22,2779,2740,2668,40,10,0,0,0,22,39,38,0,0,0,0,1,0,2779,2740,39,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50001960300","14000US50001960300","Census Tract 9603, Addison County, Vermont","Census Tract 9603, Addison County, Vermont","vt","140","00","ACSSF","0000651",,,,,"50","001",,,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579,2579,1061.332,2.42996569868277,2579,2365,93,20,27,29,4,41,2579,2520,2313,90,20,27,29,0,41,59,52,3,0,0,0,4,0,2579,2520,59,49,3,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50001960400","14000US50001960400","Census Tract 9604, Addison County, Vermont","Census Tract 9604, Addison County, Vermont","vt","140","00","ACSSF","0000652",,,,,"50","001",,,,"960400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143,5143,41.37378,124.305799100227,5143,4986,36,28,9,26,11,47,5143,4976,4835,36,26,9,26,0,44,167,151,0,2,0,0,11,3,5143,4976,167,115,20,8,0,0,0,0,0,0,0,0,0,24,18,0,3,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,2,0,0,0,0,0,2,0,0,0
"50001960500","14000US50001960500","Census Tract 9605, Addison County, Vermont","Census Tract 9605, Addison County, Vermont","vt","140","00","ACSSF","0000653",,,,,"50","001",,,,"960500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896,3896,93.84382,41.5157877179354,3896,3830,0,0,54,0,0,12,3896,3841,3775,0,0,54,0,0,12,55,55,0,0,0,0,0,0,3896,3841,55,17,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,6,5,0,0,0,30,13,0,0,0,0,0,0,0,0,0
"50001960600","14000US50001960600","Census Tract 9606, Addison County, Vermont","Census Tract 9606, Addison County, Vermont","vt","140","00","ACSSF","0000654",,,,,"50","001",,,,"960600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2709,2709,13.2678,204.17855217862,2709,2629,0,16,29,0,2,33,2709,2670,2593,0,15,29,0,0,33,39,36,0,1,0,0,2,0,2709,2670,39,22,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,29,9,0,0,0,12,0,0,1,6,0,0,0,0,0,1,0,0,0
"50001960700","14000US50001960700","Census Tract 9607, Addison County, Vermont","Census Tract 9607, Addison County, Vermont","vt","140","00","ACSSF","0000655",,,,,"50","001",,,,"960700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3906,3906,144.0092,27.1232638915702,3906,3626,13,0,243,0,0,24,3906,3894,3618,13,0,243,0,0,20,12,8,0,0,0,0,0,4,3906,3894,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,108,0,0,22,46,0,0,0,48,0,0,0,0,0,0,19,0,0
"50001960800","14000US50001960800","Census Tract 9608, Addison County, Vermont","Census Tract 9608, Addison County, Vermont","vt","140","00","ACSSF","0000656",,,,,"50","001",,,,"960800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599,4599,392.9572,11.7035631053117,4599,4053,63,0,246,0,45,192,4599,4406,3928,46,0,246,0,10,176,193,125,17,0,0,0,35,16,4599,4406,193,59,32,0,21,7,0,3,0,0,0,4,0,44,18,0,0,3,1,0,6,12,4,0,30,30,0,0,0,246,7,6,0,163,3,0,0,3,8,0,0,0,0,4,0,30,22,0
"50001960900","14000US50001960900","Census Tract 9609, Addison County, Vermont","Census Tract 9609, Addison County, Vermont","vt","140","00","ACSSF","0000657",,,,,"50","001",,,,"960900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5099,5099,28.90952,176.377873565437,5099,4960,49,11,15,0,0,64,5099,4996,4870,49,11,15,0,0,51,103,90,0,0,0,0,0,13,5099,4996,103,88,8,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,15,0,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,3,0
"50001961000","14000US50001961000","Census Tract 9610, Addison County, Vermont","Census Tract 9610, Addison County, Vermont","vt","140","00","ACSSF","0000658",,,,,"50","001",,,,"961000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368,2368,47.62586,49.7208851932905,2368,2299,9,16,13,0,0,31,2368,2327,2275,9,16,13,0,0,14,41,24,0,0,0,0,0,17,2368,2327,41,13,18,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,13,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0
